systemPrompt,userPrompt,assistantResponse
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",Search the internet for Irish stew recipes.,"{\""role\"":\""function_call\"",\""name\"":\""search_bing\"",\""arguments\"":{\""query\"":\""irish stew recipes\""}}"
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",Search bing for instructions to fly a kite.,"{\""role\"":\""function_call\"",\""name\"":\""search_bing\"",\""arguments\"":{\""query\"":\""instructions to fly a kite\""}}"
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",Find restaurant recommendations for Dublin on the web.,"""{\""role\"":\""function_call\"",\""name\"":\""search_bing\"",\""arguments\"":{\""query\"":\""Dublin restaurant recommendations\""}}"""
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",Search google for paintings by Michelangelo,"There are no functions allowing me to search google, but I can search the internet using Bing if you ask."
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond immediately with a json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",Find ideas for wedding dress designs online,There are no functions that allow me to search online.
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",What's the weather in Lagos now? My friend is over there right now.,"{\""role\"":\""function_call\"",\""name\"":\""get_current_weather\"",\""arguments\"":{\""location\"":\""lagos, Nigeria\"",\""unit\"":\""celsius\""}}"
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",How hot is it in Berlin? I'm wondering if I'll go out for a cycle.,"{\""role\"":\""function_call\"",\""name\"":\""get_current_weather\"",\""arguments\"":{\""location\"":\""Berlin, Germany\"",\""unit\"":\""celsius\""}}"
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",I'm going on holidays later today. How's the weather in Boston?,"{\""role\"":\""function_call\"",\""name\"":\""get_current_weather\"",\""arguments\"":{\""location\"":\""Boston, Massachusetts\"",\""unit\"":\""fahrenheit\""}}"
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",What is the weather forecast for two weeks from now?,"There is no function to get the weather forecast two weeks from now, but I can help you with the weather today if you provide a location."
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""get_current_weather\"",\""description\"":\""Get the current weather in a given location\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""location\"":{\""type\"":\""string\"",\""description\"":\""The city and state, e.g. San Francisco, CA\""},\""unit\"":{\""type\"":\""string\"",\""enum\"":[\""celsius\"",\""fahrenheit\""]}},\""required\"":[\""location\""]}}{\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond with only a stringified json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",Find patents on batch reverse osmosis desalination on Google Patents,"There is no function to search Google Patents, but I can search Bing if you would like."
"You are a helpful research assistant. The following functions, if any, are available for you to fetch further data to answer user questions: {\""name\"":\""search_arxiv\"",\""description\"":\""Search for research papers on ArXiv. Make use of AND, OR and NOT operators as appropriate to join terms within the query.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}}{\""name\"":\""search_bing\"",\""description\"":\""Search the web for content on Bing. This allows users to search online/the internet/the web for content.\"",\""parameters\"":{\""type\"":\""object\"",\""properties\"":{\""query\"":{\""type\"":\""string\"",\""description\"":\""The search query string\""}},\""required\"":[\""query\""]}} To make a function call, respond immediately with a json object containing the function_call role, the name of the function, and the function arguments: {\""role\"":\""function_call\"",\""name\"":\""function_name\"",\""arguments\"":{\""argument_name_1\"":\""argument_value_1\"",\""argument_name_2\"":\""argument_value_2\""}}",How hot is it today in Cork?,There is no function available to find how hot it is today in Cork.